"","date","PortfolioValue"
"1",2018-01-04,100
"2",2018-01-10,99.7038436765947
"3",2018-01-17,102.034626495928
"4",2018-01-23,103.064676930352
"5",2018-01-29,103.765423975642
"6",2018-02-02,100.432499119626
"7",2018-02-08,92.6998429016751
"8",2018-02-14,95.9589146546906
"9",2018-02-21,94.8256443286405
"10",2018-02-27,96.3682616223412
"11",2018-03-05,96.0162725798256
"12",2018-03-09,97.1911587292134
"13",2018-03-15,95.7132012231664
"14",2018-03-21,95.2536676832148
"15",2018-03-27,92.6025472323372
"16",2018-04-03,92.0267884981995
"17",2018-04-09,91.6779366225401
"18",2018-04-13,93.7909225243138
"19",2018-04-19,95.6093667189807
"20",2018-04-25,94.6821767286263
"21",2018-05-01,93.3543254572185
"22",2018-05-07,94.1456987812737
"23",2018-05-11,95.6575930311967
"24",2018-05-17,96.2126555077385
"25",2018-05-23,96.2362026173812
"26",2018-05-30,96.3671472341151
"27",2018-06-05,96.339347464964
"28",2018-06-11,98.3197045731061
"29",2018-06-15,97.7398661590909
"30",2018-06-21,96.0826190880054
"31",2018-06-27,94.6864630388536
"32",2018-07-03,94.9252723624558
"33",2018-07-10,97.6743932979034
"34",2018-07-16,97.2955971274151
"35",2018-07-20,97.6148307212412
"36",2018-07-26,98.7452634719696
"37",2018-08-01,97.5455895371326
"38",2018-08-07,98.32149089575
"39",2018-08-13,97.1268028715115
"40",2018-08-17,98.5960033639391
"41",2018-08-23,99.7943691568999
"42",2018-08-29,102.301258104308
"43",2018-09-05,103.01573247325
"44",2018-09-11,103.455254205334
"45",2018-09-17,105.417152252342
"46",2018-09-21,106.382455697978
"47",2018-09-27,105.359851036345
"48",2018-10-03,103.94369237009
"49",2018-10-09,102.164861123448
"50",2018-10-15,98.4422188254054
"51",2018-10-19,97.5480570745724
"52",2018-10-25,92.9259071581918
"53",2018-10-31,94.1113461619449
"54",2018-11-06,97.4014178438204
"55",2018-11-12,95.6150858991152
"56",2018-11-16,97.2392017493652
"57",2018-11-23,94.88514726893
"58",2018-11-29,98.2808689260164
"59",2018-12-06,96.7210505972939
"60",2018-12-12,94.8735746648284
"61",2018-12-18,90.3960744809036
"62",2018-12-24,83.5575978868122
"63",2018-12-31,88.6434644520207
"64",2019-01-02,89.1457625154602
"65",2019-01-08,92.1692685964155
"66",2019-01-14,92.3303853449476
"67",2019-01-18,94.7935704702475
"68",2019-01-25,94.6885333946566
"69",2019-01-31,96.4372474839462
"70",2019-02-06,96.9293610650489
"71",2019-02-12,97.0964171510729
"72",2019-02-19,99.615227691586
"73",2019-02-25,100.557690619787
"74",2019-03-01,99.7175587449962
"75",2019-03-07,97.3116180739925
"76",2019-03-13,100.025732812292
"77",2019-03-19,101.537295151777
"78",2019-03-25,101.192827861398
"79",2019-03-29,102.092618471103
"80",2019-04-04,105.469818866629
"81",2019-04-10,105.544435526656
"82",2019-04-16,106.46137384409
"83",2019-04-23,106.40334715196
"84",2019-04-29,105.841647822541
"85",2019-05-03,106.166018803404
"86",2019-05-09,104.779773437741
"87",2019-05-15,104.725910286176
"88",2019-05-21,106.24521470926
"89",2019-05-28,103.970732479201
"90",2019-06-03,103.430670708721
"91",2019-06-07,110.174907494196
"92",2019-06-13,109.61202500911
"93",2019-06-19,110.396917249028
"94",2019-06-25,109.351121223635
"95",2019-07-01,111.935317853327
"96",2019-07-08,113.219600901428
"97",2019-07-12,115.414854603595
"98",2019-07-18,114.800983687716
"99",2019-07-24,114.65626899089
"100",2019-07-30,113.856344202045
"101",2019-08-05,107.163507840724
"102",2019-08-09,112.503140832231
"103",2019-08-15,108.165577750074
"104",2019-08-21,111.259046587296
"105",2019-08-27,110.071087465984
"106",2019-09-03,111.416393658332
"107",2019-09-09,112.786548741752
"108",2019-09-13,113.445520730847
"109",2019-09-19,113.243253097308
"110",2019-09-25,112.085772749997
"111",2019-10-01,109.558796345324
"112",2019-10-07,109.642187472215
"113",2019-10-11,110.254325051728
"114",2019-10-17,111.655708332802
"115",2019-10-23,112.518629929992
"116",2019-10-29,113.459878971642
"117",2019-11-04,115.985687694256
"118",2019-11-08,115.852041311709
"119",2019-11-14,117.132196540955
"120",2019-11-20,118.88968736712
"121",2019-11-26,118.36485666596
"122",2019-12-03,116.692607380183
"123",2019-12-09,117.201157489424
"124",2019-12-13,118.53314108721
"125",2019-12-19,119.555435614963
"126",2019-12-26,121.593315603671
"127",2020-01-03,122.031841080415
"128",2020-01-09,121.559906269271
"129",2020-01-15,122.014676987504
"130",2020-01-22,123.455303989771
"131",2020-01-28,122.18762894235
"132",2020-02-03,119.716449244703
"133",2020-02-07,122.428786568417
"134",2020-02-13,124.77526530906
"135",2020-02-20,125.998064331718
"136",2020-02-26,115.139081185006
"137",2020-03-03,111.460006821483
"138",2020-03-09,100.073485008277
"139",2020-03-13,95.771193808347
"140",2020-03-19,84.6345569129853
"141",2020-03-25,89.5798110001923
"142",2020-03-31,91.2087817933255
"143",2020-04-06,94.5240980196247
"144",2020-04-13,100.15979128406
"145",2020-04-17,104.455514192677
"146",2020-04-23,101.437144602466
"147",2020-04-29,106.329161903286
"148",2020-05-05,103.283527557352
"149",2020-05-11,105.854890508092
"150",2020-05-15,102.740028022558
"151",2020-05-21,105.887702390858
"152",2020-05-28,107.293112997225
"153",2020-06-03,111.273697723665
"154",2020-06-09,115.144253645072
"155",2020-06-15,109.218805287226
"156",2020-06-19,109.610480411678
"157",2020-06-25,106.710172929336
"158",2020-07-01,107.605115366938
"159",2020-07-08,108.960229355352
"160",2020-07-14,110.31605751325
"161",2020-07-20,113.86079074261
"162",2020-07-24,119.442190688791
"163",2020-07-30,122.484424392969
"164",2020-08-05,127.647203054393
"165",2020-08-11,124.829573670871
"166",2020-08-17,126.72441634698
"167",2020-08-21,125.576180932528
"168",2020-08-27,126.323421396005
"169",2020-09-02,130.55597954147
"170",2020-09-09,124.184663600449
"171",2020-09-15,123.39056394895
"172",2020-09-21,119.504926485729
"173",2020-09-25,119.277806071045
"174",2020-10-01,123.589675419286
"175",2020-10-07,127.462513316071
"176",2020-10-13,128.206297633907
"177",2020-10-19,126.202047827583
"178",2020-10-23,128.661843243354
"179",2020-10-29,123.056605698812
"180",2020-11-04,126.310158706367
"181",2020-11-10,129.480855679517
"182",2020-11-16,132.85442645295
"183",2020-11-20,132.198196796558
"184",2020-11-27,134.452027773528
"185",2020-12-03,138.085073777968
"186",2020-12-09,138.534539584062
"187",2020-12-15,140.969684062137
"188",2020-12-21,138.827792189092
"189",2020-12-28,138.114795388058
"190",2021-01-05,139.272475000065
"191",2021-01-11,142.805510620241
"192",2021-01-15,139.14433316184
"193",2021-01-22,140.521826826715
"194",2021-01-28,136.886767803427
"195",2021-02-03,138.122603088603
"196",2021-02-09,142.49692324306
"197",2021-02-16,142.425080699149
"198",2021-02-22,140.25538392857
"199",2021-02-26,138.227479199128
"200",2021-03-04,135.044635754434
